"","kods","teritorija","Year","FDI","Subject","Measure"
"287","noEU","Ārpus ES 27 (kopā)","2013",3803,"INWARD","MLN_EUR"
"288","noEU","Ārpus ES 27 (kopā)","2014",3650,"INWARD","MLN_EUR"
"289","noEU","Ārpus ES 27 (kopā)","2015",3854,"INWARD","MLN_EUR"
"290","noEU","Ārpus ES 27 (kopā)","2016",4053,"INWARD","MLN_EUR"
"291","noEU","Ārpus ES 27 (kopā)","2017",4011,"INWARD","MLN_EUR"
"292","noEU","Ārpus ES 27 (kopā)","2018",3952,"INWARD","MLN_EUR"
"293","noEU","Ārpus ES 27 (kopā)","2019",3867,"INWARD","MLN_EUR"
"294","noEU","Ārpus ES 27 (kopā)","2020",3975,"INWARD","MLN_EUR"
"295","AU","Austrālija","2000",0,"INWARD","MLN_EUR"
"296","AU","Austrālija","2001",0,"INWARD","MLN_EUR"
"297","AU","Austrālija","2002",0,"INWARD","MLN_EUR"
"298","AU","Austrālija","2003",0,"INWARD","MLN_EUR"
"299","AU","Austrālija","2004",0,"INWARD","MLN_EUR"
"300","AU","Austrālija","2005",0,"INWARD","MLN_EUR"
"301","AU","Austrālija","2006",NA,"INWARD","MLN_EUR"
"302","AU","Austrālija","2007",1,"INWARD","MLN_EUR"
"303","AU","Austrālija","2008",NA,"INWARD","MLN_EUR"
"304","AU","Austrālija","2009",NA,"INWARD","MLN_EUR"
"305","AU","Austrālija","2010",NA,"INWARD","MLN_EUR"
"306","AU","Austrālija","2011",NA,"INWARD","MLN_EUR"
"307","AU","Austrālija","2012",NA,"INWARD","MLN_EUR"
"308","AU","Austrālija","2013",1,"INWARD","MLN_EUR"
"309","AU","Austrālija","2014",0,"INWARD","MLN_EUR"
"310","AU","Austrālija","2015",2,"INWARD","MLN_EUR"
"311","AU","Austrālija","2016",1,"INWARD","MLN_EUR"
"312","AU","Austrālija","2017",0,"INWARD","MLN_EUR"
"313","AU","Austrālija","2018",0,"INWARD","MLN_EUR"
"314","AU","Austrālija","2019",0,"INWARD","MLN_EUR"
"315","AU","Austrālija","2020",-1,"INWARD","MLN_EUR"
"316","AT","Austrija","2000",9,"INWARD","MLN_EUR"
"317","AT","Austrija","2001",14,"INWARD","MLN_EUR"
"318","AT","Austrija","2002",22,"INWARD","MLN_EUR"
"319","AT","Austrija","2003",24,"INWARD","MLN_EUR"
"320","AT","Austrija","2004",34,"INWARD","MLN_EUR"
"321","AT","Austrija","2005",58,"INWARD","MLN_EUR"
"322","AT","Austrija","2006",83,"INWARD","MLN_EUR"
"323","AT","Austrija","2007",168,"INWARD","MLN_EUR"
"324","AT","Austrija","2008",208,"INWARD","MLN_EUR"
"325","AT","Austrija","2009",188,"INWARD","MLN_EUR"
"326","AT","Austrija","2010",163,"INWARD","MLN_EUR"
"327","AT","Austrija","2011",173,"INWARD","MLN_EUR"
"328","AT","Austrija","2012",186,"INWARD","MLN_EUR"
"329","AT","Austrija","2013",191,"INWARD","MLN_EUR"
"330","AT","Austrija","2014",165,"INWARD","MLN_EUR"
"331","AT","Austrija","2015",191,"INWARD","MLN_EUR"
"332","AT","Austrija","2016",204,"INWARD","MLN_EUR"
