"Preču plūsma,""Valstis"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"""
"Eksports,""KW Kuveita"",403777,331208,302249,286043,179659,861854,1444124,1615299,3097681,3238551,3118626,1792381,2309841,14273569,8118381,1896449,2717995"
"Eksports,""KZ Kazahstāna"",13511336,18960172,33086206,30115005,28289950,28298887,48835930,47019536,60210148,48554063,42237325,39999806,36806609,40841522,55304432,42527925,33329306"
"Eksports,""LA Laosas Tautas Demokrātiskā Republika (Laosa)"",19066,31245,62131,13069,10021,0,0,1811,35201,2854,16780,208342,139423,486738,100675,230907,253911"
"Eksports,""LB Libāna"",865293,937261,625141,936852,2537960,1728783,2506682,12617189,4169591,6549295,11671797,5571950,4200148,3754976,3498235,1484086,984474"
"Eksports,""LC Sentlūsija"",0,0,0,41893,0,0,0,0,0,0,0,0,52,0,0,0,0"
"Eksports,""LI Lihtenšteina"",376,0,583044,3866,130286,200,354,3886,26562,562,13492,64626,288730,37656,141078,106652,51488"
"Eksports,""LY Lībija"",55284,3374882,4685269,3991554,24699274,1973368,4003068,22354458,274216,11721791,8228492,2953071,9641195,8313817,2060446,9778465,1140799"
"Eksports,""LK Šrilanka"",83491,223369,287438,219972,184461,234843,323205,318719,243607,290710,551550,539446,653694,722157,865049,1049757,764319"
"Eksports,""LR Libērija"",2199908,2918865,3205586,1557582,509544,309294,414188,349024,813271,677919,543372,282678,177765,96289,184973,130034,151404"
"Eksports,""LS Lesoto"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Eksports,""LT Lietuva"",452217005,687306152,908690859,1052584661,840027986,1084571972,1546282890,1575584556,1724334724,2060155155,2133338549,2015302702,2042216774,2183533350,2206891017,2169281963,2073412936"
"Eksports,""LU Luksemburga"",419703,602398,2543461,2574791,2512925,2440878,1795072,2056371,9237466,10009667,7020859,11694347,8961478,9278550,8319165,10311783,9150714"
"Eksports,""MA Maroka"",1701012,1415735,8681635,31994990,18224319,3386195,4615951,9135262,2019734,14050025,8098733,13956475,4745013,6612970,4811883,62393067,11857163"
"Eksports,""MD Moldova"",7325632,8062622,7501713,7807802,6228660,6824266,9055378,10378704,11164236,12596542,12126340,14027636,17304495,19464473,21361568,19615015,15445814"
"Eksports,""ME Melnkalne"",0,0,19540,36050,78605,83753,10046,2701,76549,93703,210654,174416,400910,270611,265033,255841,219157"
"Eksports,""MG Madagaskara"",295494,31169,206,2413,191127,396292,848222,1260466,821432,1377690,1311684,231800,219126,1152336,1695897,7828195,1661059"
"Eksports,""MH Māršala salas"",618071,954607,1214185,337884,375006,578156,482409,277826,533243,796329,1093372,280380,85958,8151583,1870542,169975,18652"
"Eksports,""MY Malaizija"",986233,1070234,716607,934582,936156,2977576,5676451,11781342,10136769,4464436,8322577,7230763,8278586,8360777,10708709,7811040,7664723"
"Eksports,""MK Ziemeļmaķedonija"",6066,49410,25081,387560,493647,700380,584692,813215,935988,2544164,3054789,2006506,2010574,1715606,1841774,2988832,1551184"
"Eksports,""ML Mali"",12236,206129,19146,0,5204,11782,32496,26189,22188,18586,188413,244590,343567,470945,196696,514831,166911"
"Eksports,""MM Mjanma"",0,0,0,1106,0,3402,2117,0,5710,39079,1143307,224098,380672,498151,192419,54778,22647"
"Eksports,""MN Mongolija"",230742,202210,691326,648362,154142,246659,828806,3616192,1468345,792972,748065,982059,1133513,1632076,2358762,2354798,4419373"
"Eksports,""MO Makao"",0,0,0,0,33565,0,0,329,694,1546,14030,33582,73360,950242,1286108,177367,290602"
"Eksports,""MP Ziemeļu Marianas Salas"",0,0,0,0,0,0,0,0,7005,0,0,0,0,0,0,0,0"
"Eksports,""MR Mauritānija"",0,552,1010,2075,4484120,0,0,154468,70462,124396,5415516,4352861,81199,409333,7471856,70673,12474189"
"Eksports,""MS Montserrata"",0,0,0,0,0,0,0,0,0,0,0,0,0,3475,0,0,0"
"Eksports,""MT Malta"",19711995,8493901,5664157,1696958,1179035,1731759,7834524,5886893,5190249,9584248,5937470,8989641,11449515,10337671,10937865,8122958,8625918"
"Eksports,""MU Maurīcija"",686,0,0,10751,8012,16632,13507,15506,9771,28670,153437,95100,168468,116846,175658,255321,148699"
"Eksports,""MV Maldīvija"",1915,20432,4011,2791,8830,1959,16172,8081,45589,91585,189323,275574,177241,468856,125431,125861,218857"
"Eksports,""MW Malāvija"",0,20374,31479,25000,0,0,0,63817,0,1439,0,4340,2353284,51559,286420,105653,2544"
"Eksports,""MX Meksika"",934299,1436244,1692288,858744,1230939,1610193,1618332,2284075,2700322,4007911,5861529,6370440,8053754,8417456,12270424,7528008,5283969"
"Eksports,""MZ Mozambika"",10212,12032,33072,20545,4932786,3482637,88510,934517,187448,7810553,136009,115719,99811,7659759,7279043,12918371,81298"
"Eksports,""NA Namībija"",24232,4310,0,10186,5860,21968,32149,5196,6479,1414878,22725,29880,3635,84986,217558,15574,33941"
"Eksports,""NC Jaunkaledonija"",0,266,2563,10329,15000,5901,13575,11071,14774,25333,43014,40278,86470,143472,114071,385801,245938"
"Eksports,""NE Nigēra"",0,116294,100,0,127479,1111,37422,105457,19853,138410,1246113,278577,149706,12540,8974350,9000,3472"
"Eksports,""NG Nigērija"",5986247,1997126,821545,1481487,6087435,6642271,4003256,4216017,2246911,1173672,2395652,4123386,43827097,19549931,65677344,171967583,174479470"
"Eksports,""NI Nikaragva"",10045,0,0,31318,168,21307,8523,571742,20330,51472,225205,245161,175647,243163,181931,162516,263272"
"Eksports,""NL Nīderlande"",87178201,110078572,121614892,147854451,131786098,150606903,194779186,268967224,221880923,215213455,259504817,294693020,306320644,286102113,348541905,405923821,377709477"
"Eksports,""NO Norvēģija"",81268203,110950554,144395432,162180321,134789716,186560224,203299654,259941181,265785232,244651714,232967594,239782538,259176958,277252350,292810289,261617752,230539294"
"Eksports,""NP Nepāla"",2203,449,10548,14440,53611,104592,79209,188289,189007,132726,162804,163084,163145,282927,332062,377363,339448"
"Eksports,""NR Nauru"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Eksports,""NU Niue"",0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0"
"Eksports,""NZ Jaunzēlande"",853165,1288868,1745029,2372802,1515028,3058739,2080865,1692168,2351314,2495516,2938813,3838826,6256476,5817119,7314189,8319974,8232666"
"Eksports,""OM Omāna"",161210,228082,174141,3574432,140511,409645,289517,4711634,985346,811925,965989,2160198,1611321,1365257,3644218,1427880,721533"
"Eksports,""PA Panama"",5376620,2312465,4937525,4093580,7727304,4298685,1696835,2317999,3666540,2513779,1471461,1090621,1095458,1417729,1425652,1060346,1432390"
"Eksports,""PE Peru"",8263869,577944,11220882,100383851,9663894,1156260,1192283,14637446,1644151,1745634,3623461,2892013,5314212,4076963,5135810,10271611,5655923"
"Eksports,""PF Franču Polinēzija"",0,0,6547,9372,320,1241,92,2496,7415,36535,53801,45601,54782,56520,65911,67688,63298"
"Eksports,""PG Papua-Jaungvineja"",0,0,71,0,0,0,22301,45116,66843,0,223915,58301,14183,62482,19121,14230,90557"
"Eksports,""PH Filipīnas"",122375,70449,16334,583856,8654,103215,74074,95147,232633,389643,1051917,4270893,2889528,1872427,1878749,916508,957865"
"Eksports,""PY Paragvaja"",325149,100012,47369,30371,255850,422458,3528034,4711869,5936147,11336951,15484892,15249620,24648836,18820651,11026168,11123285,8793474"
"Eksports,""PK Pakistāna"",740115,2098641,1831278,1723685,1611568,4256580,2767012,3592990,3948275,17256328,16151554,11452207,15729036,17964319,11520754,17203928,4803580"
"Eksports,""PL Polija"",214484968,113363119,207759222,235517607,196810085,330688993,500659937,593507195,672718703,664050908,615938965,528093871,517656927,499831516,470034016,485589867,486424638"
"Eksports,""PM Senpjēra un Mikelona"",0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0"
"Eksports,""PR Puertoriko"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Eksports,""PS Okupētā Palestīnas teritorija"",0,0,0,0,4741,25141,49378,3147,13887,5590,12421,26391,81891,164411,45258,354990,333297"
"Eksports,""PT Portugāle"",25852886,9162710,6148159,2780120,4665224,3949074,4214757,5557275,11545597,14482648,14948816,18503243,21983186,20121283,25918417,28465738,33280370"
"Eksports,""PW Palau"",0,0,0,0,0,0,0,0,36060,4717,0,0,72786,25634,24548,12615,5112"
"Eksports,""QA Katara"",71511,91266,101417,365291,158324,367834,515989,458367,762538,4994116,931458,999251,1820099,2517746,2944776,3429137,3557885"
"Eksports,""QQ Kuģu un lidmašīnu apgāde"",1997032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Eksports,""QS Krājumi un rezerves tirdzn. ar trešajām valstīm"",0,16219016,19235961,40409688,14736618,5665983,23009471,36178385,44317549,22121512,10573850,13350650,15371163,15560557,14945033,10831277,8459073"
"Eksports,""QU Nezināma valsts"",11306416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Eksports,""QW Bez sadalījuma pa valstīm (tirdzn. ar trešajām valstīm)"",424687,2971684,7238648,7931575,3250735,1148270,3407358,2769813,1607413,0,7120069,8336237,8460541,9061438,3533492,0,0"
"Eksports,""QZ Nav norādīts komerciālu vai militāru iemeslu dēļ (tirdzn. ar trešajām valstīm)"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Eksports,""RO Rumānija"",4340032,2985468,9700318,22313051,15759933,21525049,24828763,22742063,17105139,22381251,28784339,18477481,21888930,27698820,33006074,40092231,33732449"
"Eksports,""RU Krievijas Federācija (Krievija)"",324891760,415368698,549485985,629152223,450169990,707363067,901494698,1125814893,1163113039,1097576963,836813338,793644199,1049355062,1135432235,1184727400,1131819254,847330750"
"Eksports,""RW Ruanda"",0,626171,0,0,0,0,0,0,1317831,50430,432122,667472,886562,1520421,693222,98445,96756"
